TDATN,Allport Odbert source,Norman source,Saucier,G&N 1710,,,,,,,,
crumpled,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
crup,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
crusading,Allport Odbert - Column I,Norman - category 3; form 4,not included,included,,,,,,,,
crushed,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
crushing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
crusty,Allport Odbert - Column III,Norman - category 3; form 5,not included,not included,,,,,,,,
crutched,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
cry-baby,Allport Odbert - Column I,Norman - category 1; form 1,not included,not included,,,,,,,,
cryptic,Allport Odbert - Column I,Norman - category 2; form 2,not included,not included,,,,,,,,
crystal,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
cub,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
cubbish,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
cuckoldly,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
cuckoo,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
cuculine,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
cuddling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
cuddy,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
cuittling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
cullion,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
cully,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
cullying,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
culottic,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
culpable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
culprit,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
cultivable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
cultivated,Allport Odbert - Column IV,Norman - category 3; form 3,not included,included,,,,,,,,
cultivating,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
cultured,Allport Odbert - Column IV,Norman - category 1; form 4,not included,included,,,,,,,,
culturist,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
cumbered,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
cumbersome,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
cumulatist,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
cunctatious,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
cunning,Allport Odbert - Column I,Norman - category 1; form 5,not included,included,,,,,,,,
cupidinous,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
cupidous,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
cur,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
curable,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
curcuddoch,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
cure,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
cureless,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
curious,Allport Odbert - Column I,Norman - category 1; form 1,not included,included,,,,,,,,
curmudgeon,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
current,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
currish,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
cursed,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
cursing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
cursory,Allport Odbert - Column III,Norman - category 2; form 2,not included,not included,,,,,,,,
curt,Allport Odbert - Column I,Norman - category 1; form 3,not included,included,,,,,,,,
curtailed,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
curtal,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
curvetting,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
cushiony,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
cuss,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
cussed,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
custom-made,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
cut,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
cut-and-dried,Allport Odbert - Column IV,Norman - category 3; form 4,not included,not included,,,,,,,,
cute,Allport Odbert - Column III,not included,included,not included,,,,,,,,
cuttering,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
cutthroat,Allport Odbert - Column III,Norman - category 3; form 5,not included,not included,,,,,,,,
cutting,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
cutty,Allport Odbert - Column I,Norman - category 3; form 1,not included,not included,,,,,,,,
Cyclic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
cycloid,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
cyclonic,Allport Odbert - Column IV,Norman - category 3; form 2,not included,not included,,,,,,,,
cyclopedic,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
Cyllenian,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
cynical,Allport Odbert - Column I,Norman - category 1; form 3,not included,included,,,,,,,,
cynoid,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
cynosural,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
cynosure,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
Cyprian,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
dab,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dabbler,Allport Odbert - Column I,Norman - category 3; form 4,not included,not included,,,,,,,,
dabster,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dackering,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dacoiting,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
daddling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
daddocky,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
daedal,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
daff,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
daffing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
daffy,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
daft,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dain,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dainty,Allport Odbert - Column I,Norman - category 1; form 5,not included,included,,,,,,,,
daisy,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dallying,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
damageable,Allport Odbert - Column III,Norman - category 3; form 1,not included,not included,,,,,,,,
damaged,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
damaging,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dammered,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dammished,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
damnable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
damning,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
damp,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
dampened,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dampening,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dancing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dandering,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dandiacal,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dandifying,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dandiprat,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dandled,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
dandling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dandy,Allport Odbert - Column I,Norman - category 3; form 2,not included,not included,,,,,,,,
dandy,Allport Odbert - Column III,Norman - category 3; form 2,not included,not included,,,,,,,,
dangerous,Allport Odbert - Column III,not included,included,not included,,,,,,,,
dangler,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
Dantesque,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
Daphnean,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
dapper,Allport Odbert - Column I,Norman - category 3; form 3,not included,included,,,,,,,,
dare-devil,Allport Odbert - Column I,Norman - category 3; form 4,not included,not included,,,,,,,,
daring,Allport Odbert - Column I,Norman - category 1; form 5,not included,included,,,,,,,,
dark,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
darkened,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
darkish,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
darkling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
darkling,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
darling,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dashed,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dashing,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
dastardized,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dastardly,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dated,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dateless,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
dauber,Allport Odbert - Column I,Norman - category 3; form 1,not included,not included,,,,,,,,
daughterly,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
daunch,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
daunted,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dauntless,Allport Odbert - Column I,Norman - category 3; form 2,not included,included,,,,,,,,
dauted,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
dauting,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
davered,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
davering,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
daw,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dawdling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dawkin,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
daydreamer,not included,Norman - category 3; form 14,not included,not included,,,,,,,,
daydreaming,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dazed,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dazing,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dazzled,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dazzling,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
deaconing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dead,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
dead-alive,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
dead-beat,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dead-drunk,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dead-hearted,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
deadened,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
deader,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
deadly,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
deaf,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
deaf,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
dear,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
deathful,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
deathless,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
deaved,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
debarbarized,Allport Odbert - Column IV,Norman - category 3; form 3,not included,not included,,,,,,,,
debased,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
debasing,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
debating,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
debauched,Allport Odbert - Column I,Norman - category 2; form 4,not included,not included,,,,,,,,
debauching,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
debile,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
debilitated,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
debonair,Allport Odbert - Column I,Norman - category 2; form 5,not included,included,,,,,,,,
debording,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
decadent,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
decadescent,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
decamping,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
decayed,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
decaying,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
deceitful,Allport Odbert - Column I,Norman - category 1; form 1,not included,included,,,,,,,,
deceivable,Allport Odbert - Column III,Norman - category 1; form 2,not included,included,,,,,,,,
decelerating,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
decent,Allport Odbert - Column III,not included,included,not included,,,,,,,,
deceptive,Allport Odbert - Column I,Norman - category 1; form 3,not included,included,,,,,,,,
decided,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
deciding,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
decisive,Allport Odbert - Column I,Norman - category 1; form 4,not included,included,,,,,,,,
decivilized,Allport Odbert - Column IV,Norman - category 3; form 5,not included,not included,,,,,,,,
declaiming,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
declamatory,Allport Odbert - Column IV,Norman - category 2; form 1,not included,not included,,,,,,,,
declining,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
decolorate,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
deconsecrated,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
deconsidering,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
decorative,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
decorist,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
decorous,Allport Odbert - Column I,Norman - category 2; form 2,not included,not included,,,,,,,,
decoying,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
decrepit,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
decrying,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
decurtate,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
dedecorated,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dedicated,not included,Norman - category 1; form 11,not included,included,,,,,,,,
dedolent,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
deducing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
deedful,Allport Odbert - Column III,Norman - category 3; form 3,not included,not included,,,,,,,,
deedless,Allport Odbert - Column III,Norman - category 3; form 4,not included,not included,,,,,,,,
deedy,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
deeming,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
deep,Allport Odbert - Column III,Norman - category 3; form 5,not included,included,,,,,,,,
deep-browed,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
deep-mouthed,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
deepening,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
deepish,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
defacer,Allport Odbert - Column III,Norman - category 3; form 1,not included,not included,,,,,,,,
defalcating,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
defamatory,Allport Odbert - Column III,Norman - category 2; form 2,not included,not included,,,,,,,,
defamed,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
defaulting,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
defeated,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
defeating,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
defeatist,Allport Odbert - Column I,Norman - category 1; form 3,not included,not included,,,,,,,,
defeatured,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
defective,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
defectless,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
defending,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
defenseless,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
defensive,not included,not included,not included,included,,,,,,,,
deferential,Allport Odbert - Column I,Norman - category 2; form 4,not included,not included,,,,,,,,
deferring,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
defiable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
defiant,Allport Odbert - Column I,Norman - category 1; form 5,not included,included,,,,,,,,
deficient,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
defiled,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
defiling,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
definite,Allport Odbert - Column I,Norman - category 1; form 1,not included,included,,,,,,,,
deflagrating,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
deflected,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
deflecting,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
deformed,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
defouled,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
defouling,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
defrauding,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
defrosting,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
deft,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
dégagé,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
degenerate,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
degenerative,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
degraded,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
degrading,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
degusting,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
dehumanized,Allport Odbert - Column IV,Norman - category 3; form 2,not included,not included,,,,,,,,
dehypnotized,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
deiform,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
deifying,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
deigning,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
deipnosophistic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
deistic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
dejected,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dekanormal,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
delacrimative,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
delapsing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
delating,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
delayful,Allport Odbert - Column I,Norman - category 3; form 3,not included,not included,,,,,,,,
delaying,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
delectable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
delectated,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
deleerit,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
deleterious,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
deleting,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
deliberate,Allport Odbert - Column I,Norman - category 1; form 4,not included,included,,,,,,,,
deliberative,Allport Odbert - Column I,Norman - category 1; form 5,not included,included,,,,,,,,
delicate,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
delicious,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
delighted,Allport Odbert - Column II,not included,included,not included,,,,,,,,
delightful,Allport Odbert - Column III,not included,included,not included,,,,,,,,
delightless,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
Delilah,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
delinquent,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
delirious,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
delitescent,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
deliverer,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
delivering,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dell,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
delocalized,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
deludable,Allport Odbert - Column III,Norman - category 1; form 1,not included,not included,,,,,,,,
deluded,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
deluged,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
delusional,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
delusive,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
delving,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
demagnetized,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
demagogical,Allport Odbert - Column I,Norman - category 2; form 2,not included,not included,,,,,,,,
demanding,Allport Odbert - Column II,not included,not included,included,,,,,,,,
dematerialized,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
demeaned,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
demeaning,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
demented,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
dementing,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
demeritorious,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
demigod,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
demimondaine,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
demirep,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
demiurgic,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
democratic,Allport Odbert - Column I,Norman - category 1; form 3,not included,included,,,,,,,,
Democritean,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
demolishing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
demoniac,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
demonized,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
demonstrant,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
demonstrative,Allport Odbert - Column I,Norman - category 1; form 4,not included,included,,,,,,,,
demophil,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
demoralized,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
demoralizing,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
demulcent,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
demure,Allport Odbert - Column I,Norman - category 2; form 5,not included,included,,,,,,,,
demurring,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
denaturalized,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
denigrated,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
denigrating,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
denigratory,not included,Norman - category 3; form 12,not included,not included,,,,,,,,
denominational,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
denounced,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
denouncing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dense,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
denunciable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
denunciative,Allport Odbert - Column I,Norman - category 3; form 1,not included,not included,,,,,,,,
denunciatory,not included,Norman - category 3; form 13,not included,not included,,,,,,,,
denying,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dépaysé,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
dependable,Allport Odbert - Column I,Norman - category 1; form 2,not included,included,,,,,,,,
dependent,Allport Odbert - Column I,Norman - category 1; form 3,not included,included,,,,,,,,
deperdite,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
depersonalized,Allport Odbert - Column I,Norman - category 3; form 4,not included,not included,,,,,,,,
depilous,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
depleted,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
deplorable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
deploring,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
deplumed,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
depotentiated,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
depraved,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
depraving,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
deprecatory,Allport Odbert - Column I,Norman - category 2; form 5,not included,not included,,,,,,,,
depreciating,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
depreciatory,Allport Odbert - Column III,Norman - category 2; form 1,not included,not included,,,,,,,,
depredatory,Allport Odbert - Column III,Norman - category 2; form 2,not included,not included,,,,,,,,
depressed,Allport Odbert - Column II,not included,included,not included,,,,,,,,
depressible,Allport Odbert - Column I,Norman - category 3; form 3,not included,not included,,,,,,,,
depressive,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
depriving,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
depthless,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
depurated,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
depurating,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
deracinated,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
deranged,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
deranging,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
derelict,Allport Odbert - Column III,Norman - category 3; form 4,not included,not included,,,,,,,,
derider,Allport Odbert - Column I,Norman - category 3; form 5,not included,not included,,,,,,,,
derisible,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
derisive,not included,Norman - category 2; form 14,not included,included,,,,,,,,
derogatory,Allport Odbert - Column III,Norman - category 2; form 1,not included,included,,,,,,,,
descamisado,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
descanting,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
descending,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
desecrating,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
desert,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
deserted,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
deserter,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
desertful,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
deserving,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
desiccated,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
desiccating,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
designful,Allport Odbert - Column I,Norman - category 3; form 2,not included,included,,,,,,,,
designing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
desipient,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
desirable,Allport Odbert - Column III,not included,included,not included,,,,,,,,
desireful,not included,Norman - category 3; form 11,not included,not included,,,,,,,,
desireless,Allport Odbert - Column I,Norman - category 3; form 3,not included,not included,,,,,,,,
desirous,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
desisting,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
desocialized,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
desolate,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
desolative,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
desophisticated,Allport Odbert - Column III,Norman - category 3; form 4,not included,not included,,,,,,,,
désorienté,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
despairing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
desperado,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
desperate,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
despicable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
despiritualized,Allport Odbert - Column IV,not included,not included,not included,,,,,,,,
despisable,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
despising,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
despiteful,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
despiteous,Allport Odbert - Column I,Norman - category 3; form 5,not included,not included,,,,,,,,
despoiling,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
despondent,Allport Odbert - Column II,not included,not included,included,,,,,,,,
despotic,Allport Odbert - Column I,Norman - category 2; form 1,not included,not included,,,,,,,,
despotizing,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
destinist,Allport Odbert - Column I,Norman - category 3; form 2,not included,not included,,,,,,,,
destitute,Allport Odbert - Column III,not included,not included,not included,,,,,,,,
destroying,Allport Odbert - Column II,not included,not included,not included,,,,,,,,
destructionist,Allport Odbert - Column I,not included,not included,not included,,,,,,,,
