TERM,NLP1,NLP2,NLP3,NLP4,NLP5,Agreeableness,Extroversion,Conscientiousness,Neuroticism,Openness/Intellect
alcoholic,-36.1506462097168,-12.481819152832031,-11.989192962646484,-14.543753623962402,3.221698522567749,,,,,
alert,23.572538375854492,-24.802005767822266,23.42743492126465,5.074845314025879,1.4988141059875488,0.11,0.16,0.36,-0.09,0.2
alive,27.443864822387695,-31.54833221435547,-6.460296630859375,23.62140464782715,28.096323013305664,,,,,
alone,-7.6147308349609375,25.87420082092285,-0.6709685325622559,11.407508850097656,17.247251510620117,,,,,
aloof,-4.544191837310791,40.16012954711914,26.078800201416016,3.7049412727355957,-12.272225379943848,-0.2,-0.3,-0.03,0.03,0.06
altruistic,49.80802536010742,-1.8040688037872314,-12.20554256439209,-20.13934898376465,-4.2846503257751465,0.25,0.0,-0.03,-0.06,0.22
amazing,21.225292205810547,-25.194046020507812,6.595968723297119,7.926603317260742,36.981590270996094,,,,,
ambiguous,-7.469249248504639,-2.9060869216918945,-15.113588333129883,6.741616725921631,38.0292854309082,,,,,
ambitious,13.345704078674316,-35.346012115478516,29.35708999633789,-5.243566989898682,-5.037294864654541,0.04,0.28,0.34,0.03,0.11
ambivalent,3.4907073974609375,5.908837795257568,-22.310043334960938,-2.306020736694336,24.590255737304688,,,,,
amenable,53.883052825927734,-4.640600681304932,-25.963760375976562,-13.176488876342773,-13.999114990234375,,,,,
amiable,56.17556381225586,-9.685785293579102,-21.587736129760742,-16.08240509033203,-15.553452491760254,0.4,0.08,-0.08,-0.08,0.27
amicable,56.1438102722168,-2.6820085048675537,-16.30838966369629,-15.948060035705566,-12.730563163757324,,,,,
amorous,8.178434371948242,-35.07912826538086,-10.958653450012207,-10.160550117492676,-4.5896077156066895,,,,,
amusing,28.92521858215332,-31.404090881347656,0.5157694220542908,-9.211268424987793,4.0607099533081055,,,,,
analytical,16.89532470703125,13.795716285705566,39.322628021240234,-8.906325340270996,4.717341899871826,-0.08,-0.12,0.27,-0.02,0.42
anarchistic,-18.983644485473633,-33.492523193359375,-11.268893241882324,22.969083786010742,-5.53989315032959,,,,,
anecdotal,-0.4569094777107239,-12.792722702026367,-13.032390594482422,16.258317947387695,23.83208465576172,,,,,
angelic,45.047462463378906,9.327977180480957,-17.938827514648438,-9.612201690673828,12.451976776123047,,,,,
angry,-38.64857482910156,-9.62006664276123,17.808216094970703,-22.856143951416016,3.7074782848358154,,,,,
animated,26.961816787719727,-43.35603713989258,-2.688025951385498,5.2013115882873535,6.0132975578308105,0.17,0.13,-0.19,0.05,0.21
annoyed,-31.440038681030273,2.7032406330108643,-0.12284713983535767,-22.370582580566406,6.504715919494629,,,,,
