TERM,ALmeanFrequency,Orig OrderIn1710List,NormanCategory2800List,Saucier list?,G&N 1710 list?,Allport Odbert source,COCA freq rank,definitions,,,,,,
antisocial,5.70,44,Norman - category 3; form 4,nope,yes,Allport Odbert - Column III,16303,hostile or unfriendly.,22,,,,,
anxious,6.20,45,NA,yes,nope,Allport Odbert - Column II,4700,"feeling uneasiness, worry, or dread.",36,,,,,
apathetic,4.50,46,Norman - category 1; form 5,nope,yes,Allport Odbert - Column I,30419,"indifferent; having or displaying little or no emotion, concern, or interest.",77,,,,,
aphoristic,NA,NA,dropped,nope,nope,Allport Odbert - Column III,70233,"tending to make terse, sometimes witty statements of a general truth or observation.",90,,,,,
apolitical,NA,NA,Norman - category 3; form 14,nope,nope,new,26106,of a person having no interest in governance or power.,43,,,,,
apologetic,NA,NA,dropped,nope,nope,Allport Odbert - Column II,20527,"of a person prone to expressing regret, whether for errors or perceived offenses.",81,,,,,
appealing,NA,NA,NA,yes,nope,Allport Odbert - Column III,6880,"attracting interest, curiosity, or desire.",42,,,,,
appeasing,NA,NA,dropped,nope,nope,Allport Odbert - Column II,43563,"calming; placating; causing to become calmer or less agitated, especially by making concessions.",96,,,,,
appreciated,NA,NA,NA,yes,nope,not included,10398,of a person who is valued or highly admired.,44,,,,,
appreciative,4.50,47,NA,yes,nope,Allport Odbert - Column II,17872,feeling or capable of feeling gratitude.,56,,,,,
apprehensive,NA,NA,dropped,nope,nope,Allport Odbert - Column II,19417,feeling anxiety about future events.,36,,,,,
approachable,5.20,48,Norman - category 1; form 5,nope,yes,Allport Odbert - Column III,29847,available to others; easy to begin talking to.,46,,,,,
arbitrary,2.20,49,Norman - category 1; form 4,nope,yes,Allport Odbert - Column I,9753,resulting from whim or caprice instead of from a rule or reason.,64,,,,,
arbitrative,1.60,50,Norman - category 2; form 12,nope,yes,not included,NA,having power to judge or decide.,32,,,,,
ardent,NA,NA,dropped,nope,nope,Allport Odbert - Column II,15129,"prone to having very strong feelings such as passion, devotion, or desire; fervent.",83,,,,,
