TERM,ALmeanFrequency,Orig OrderIn1710List,NormanCategory2800List,Saucier list?,G&N 1710 list?,Allport Odbert source,COCA freq rank,definitions,,,,,,
moldable,2.00,756,Norman - category 3; form 8,nope,yes,Allport Odbert - Column III,76449,capable of being shaped or changed.,34,,,,,
money-grubbing,NA,NA,Norman - category 3; form 6,nope,nope,Allport Odbert - Column I,64915,characteristic of one who actively pursues the accumulation of resources.,89,,,,,
monkish,NA,NA,Norman - category 3; form 7,nope,nope,Allport Odbert - Column I,70427,inclined to disciplinary self-denial.,37,,,,,
monosyllabic,1.60,757,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,45907,"using brief words, often signifying reluctance to engage in conversation.",33,,,,,
monotonous,NA,NA,dropped,nope,nope,Allport Odbert - Column III,24851,uninteresting due to lack of variation; tedious.,48,,,,,
moody,6.10,758,Norman - category 1; form 6,nope,yes,Allport Odbert - Column I,15429,having emotional states that vary often or unpredictably.,46,,,,,
moony,NA,NA,dropped,nope,nope,Allport Odbert - Column I,81418,absent-minded; distracted; dreamy.,34,,,,,
moping,NA,NA,dropped,nope,nope,Allport Odbert - Column II,45971,acting dejected and gloomy; sulking; brooding.,46,,,,,
moral,4.70,759,Norman - category 1; form 7,nope,yes,Allport Odbert - Column III,1496,conforming to customary principles of right or just conduct; virtuous.,70,,,,,
moralistic,2.60,760,Norman - category 1; form 8,nope,yes,Allport Odbert - Column I,32048,overfond of making judgments about others' behavior.,81,,,,,
moralizing,2.00,761,Norman - category 3; form 9,nope,yes,Allport Odbert - Column II,45870,having or displaying an overly critical point of view on issues of right and wrong.,83,,,,,
morbid,4.10,762,Norman - category 1; form 10,nope,yes,Allport Odbert - Column I,22598,"in an unhealthy, gloomy mental state; preoccupied with sickness, abnormality, or death.",87,,,,,
moronic,NA,NA,dropped,nope,nope,Allport Odbert - Column III,47906,very foolish or stupid.,23,,,,,
morose,3.40,763,Norman - category 2; form 6,nope,yes,Allport Odbert - Column I,32514,gloomy or sullen.,17,,,,,
mothering,NA,NA,dropped,nope,nope,Allport Odbert - Column II,28340,"doting; characteristic of a female parent, especially in being caring, protective, and kind.",92,,,,,
motherly,NA,NA,NA,yes,nope,Allport Odbert - Column I,31458,characteristic of the way a woman looks after her child or children.,51,,,,,
motley,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,20121,incongruously varied in appearance or character; disparate.,59,,,,,
mousy,2.80,764,Norman - category 3; form 8,nope,yes,Allport Odbert - Column IV,47568,"nervous, shy, or timid; lacking in presence or charisma.",51,,,,,
mouthy,NA,NA,dropped,nope,nope,Allport Odbert - Column I,72015,"inclined to talk a lot, especially in an impudent way.",54,,,,,
muddle-headed,1.30,765,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,NA,mentally confused.,18,,,,,
mulish,1.00,766,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,81531,stubborn or obstinate.,53,,,,,
mumbling,NA,NA,dropped,nope,nope,Allport Odbert - Column II,22817,prone to speaking low and indistinctly; muttering.,50,,,,,
mundane,3.50,767,Norman - category 2; form 6,nope,yes,Allport Odbert - Column III,12038,of or pertaining to what is common and everyday; ordinary; commonplace.,71,,,,,
munificent,NA,NA,Norman - category 2; form 7,nope,nope,Allport Odbert - Column III,69928,having or showing great generosity.,35,,,,,
murderous,2.90,768,Norman - category 1; form 8,nope,yes,Allport Odbert - Column I,15616,guilty or capable of killing.,66,,,,,
muscular,NA,NA,NA,yes,nope,Allport Odbert - Column IV,9057,having large or well-developed muscles.,39,,,,,
mushy,4.00,769,Norman - category 3; form 6,nope,yes,Allport Odbert - Column III,25863,excessively sentimental or emotional.,48,,,,,
musical,3.80,770,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,2247,"talented in or having a strong interest in songs, singing, and instruments.",49,,,,,
mussy,1.20,771,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,NA,untidy or rumpled; messy.,36,,,,,
mutinous,1.40,772,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,50094,inclined to revolt or disobey; hard to control; rebellious.,59,,,,,
mysterious,NA,NA,dropped,nope,nope,Allport Odbert - Column III,4997,unknown and unexplainable; elusive; puzzling.,45,,,,,
mystical,2.80,773,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,11373,"spiritually powerful, significant, or symbolic.",47,,,,,
nagging,5.40,774,Norman - category 1; form 7,nope,yes,Allport Odbert - Column II,16435,constantly harassing someone to do something.,44,,,,,
naive,6.30,775,Norman - category 1; form 8,nope,yes,not included,8178,"lacking or marked by a lack of knowledge, experience, or realistic judgment.",76,,,,,
namby-pamby,NA,NA,dropped,nope,nope,Allport Odbert - Column III,79665,lacking force or direction; indecisive.,39,,,,,
narrow,2.20,776,Norman - category 3; form 10,nope,yes,Allport Odbert - Column III,2314,careful or meticulous; intensely focused.,41,,,,,
narrow-minded,5.50,777,Norman - category 3; form 6,nope,yes,Allport Odbert - Column III,39909,"having or showing intolerance, inflexibility, or lack of interest in new information.",85,,,,,
nasty,NA,NA,dropped,nope,nope,Allport Odbert - Column III,5814,"morally or socially objectionable; obscene, ill-tempered, or malicious.",71,,,,,
nationalistic,NA,NA,dropped,nope,nope,Allport Odbert - Column I,20934,strongly identifying with one's own country and its interests.,62,,,,,
natural,4.50,778,NA,yes,nope,Allport Odbert - Column I,642,"true or spontaneous; not affected, pretended, or forced.",56,,,,,
naughty,NA,NA,dropped,nope,nope,Allport Odbert - Column III,16994,misbehaving or mischievous.,27,,,,,
neat,NA,NA,NA,yes,nope,Allport Odbert - Column I,6048,"orderly in appearance, state, or habits; tidy.",46,,,,,
needy,NA,NA,NA,yes,nope,Allport Odbert - Column IV,12639,requiring physical necessities or affection or other forms of emotional support.,81,,,,,
nefarious,NA,NA,dropped,nope,nope,Allport Odbert - Column III,27854,very wicked; evil.,18,,,,,
negative,5.10,779,Norman - category 1; form 8,nope,yes,Allport Odbert - Column I,1441,critical; cynical; pessimistic.,31,,,,,
negativistic,1.60,780,Norman - category 1; form 9,nope,yes,Allport Odbert - Column I,NA,having an attitude marked by skepticism especially about things affirmed by others.,83,,,,,
neglected,NA,NA,NA,yes,nope,Allport Odbert - Column III,12275,not receiving proper attention; disregarded.,43,,,,,
neglectful,3.90,781,Norman - category 1; form 10,nope,yes,Allport Odbert - Column I,35770,careless or negligent.,67,,,,,
neglecting,NA,NA,dropped,nope,nope,Allport Odbert - Column II,22181,"failing to take proper care of oneself, others, or one's responsibilities.",74,,,,,
negligent,3.80,782,Norman - category 1; form 6,nope,yes,Allport Odbert - Column I,19967,careless or casual.,19,,,,,
neighborly,3.80,783,Norman - category 1; form 7,nope,yes,Allport Odbert - Column I,47584,friendly; characteristic of someone close to home.,53,,,,,
nervous,5.90,784,Norman - category 1; form 8,nope,yes,Allport Odbert - Column I,2640,having a highly excitable or apprehensive nature.,49,,,,,
nervy,2.70,785,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,52647,rudely presumptuous; impertinent; brazen.,52,,,,,
neurotic,NA,NA,dropped,nope,nope,Allport Odbert - Column I,21056,"suffering from frequent bouts of anxiety, depression, phobias, compulsions, and the like.",89,,,,,
neutral,NA,NA,dropped,nope,nope,Allport Odbert - Column III,5150,not belonging to or taking any side in disputes or contests.,60,,,,,
nice,NA,NA,NA,yes,nope,Allport Odbert - Column III,806,agreeable; attractive; appealing.,33,,,,,
niggardly,1.00,786,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,72556,"unwilling to spend, give, or share; miserly; stingy.",52,,,,,
nihilistic,NA,NA,dropped,nope,nope,Allport Odbert - Column I,42731,characteristic of one who believes that existence has no meaning or purpose.,76,,,,,
nimble-witted,1.70,787,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,NA,having or showing an ability to think or respond quickly and effectively.,72,,,,,
noble,NA,NA,dropped,nope,nope,Allport Odbert - Column III,7242,"of high or excellent mind, character, or virtues; not motivated by low or petty concerns.",89,,,,,
nocturnal,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,18396,active at night.,16,,,,,
noisy,4.70,788,Norman - category 1; form 8,nope,yes,Allport Odbert - Column I,8932,"loud, typically disturbing.",22,,,,,
nonbelligerent,1.30,789,Norman - category 3; form 14,nope,yes,not included,NA,not aggressive or engaged in a war or conflict.,46,,,,,
nonchalant,4.20,790,Norman - category 2; form 10,nope,yes,Allport Odbert - Column I,31631,showing no excitement or anxiety.,33,,,,,
noncoercive,1.70,791,Norman - category 3; form 6,nope,yes,Allport Odbert - Column II,76552,not using threats or force to achieve compliance.,48,,,,,
noncommittal,NA,NA,dropped,nope,nope,Allport Odbert - Column I,33064,"not revealing what one's preference, feeling, or opinion is.",60,,,,,
noncompliant,3.10,792,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,47368,failing to act in accordance with a wish or command.,51,,,,,
nonconforming,3.40,793,Norman - category 1; form 8,nope,yes,Allport Odbert - Column I,62797,"not in accordance or agreement with prevailing norms, standards, or customs.",75,,,,,
nondescript,NA,NA,dropped,nope,nope,Allport Odbert - Column III,21141,having no individual distinctiveness; lacking in notable features.,66,,,,,
nonegotistical,1.80,794,NA,yes,nope,not included,NA,not excessively conceited or absorbed in oneself; self-centered.,63,,,,,
nonexplosive,1.50,795,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,NA,not likely to cause an eruption of anger or controversy.,55,,,,,
nonhostile,1.10,796,Norman - category 3; form 7,nope,yes,Allport Odbert - Column III,97633,not unfriendly or antagonistic.,30,,,,,
nonimitative,1.20,797,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,NA,unlikely to copy or follow a model or example.,52,,,,,
noninterfering,1.70,798,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,NA,one who tends not to intervene in other people's affairs.,56,,,,,
nonirritable,1.30,799,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,NA,not having or showing a tendency to be easily annoyed or made angry.,68,,,,,
nonpersistent,1.10,800,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,NA,failing to continue with a course of action.,95,,,,,
nonrational,1.10,801,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,72664,not based on or in accordance with reason or logic.,51,,,,,
nonreligious,1.90,802,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,36643,not holding or adhering to strong beliefs about divinity.,35,,,,,
nonrigid,1.20,803,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,NA,able to be changed or adapted.,29,,,,,
nonsensical,NA,NA,Norman - category 3; form 10,nope,nope,Allport Odbert - Column I,30417,making no sense; meaningless; foolish.,38,,,,,
nonspiritual,2.00,804,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,NA,not associated with or interested in religious or secular matters.,66,,,,,
nonunderstanding,1.30,805,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,NA,not perceiving an intended meaning or comprehension.,41,,,,,
nonvariant,1.10,806,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,NA,"not manifesting variety, deviation, or disagreement.",51,,,,,
nonvocal,1.20,807,Norman - category 3; form 10,nope,yes,Allport Odbert - Column II,NA,one who doesn't voice an opinion.,32,,,,,
nonvolatile,1.00,808,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,66729,not liable to change rapidly and unpredictably.,72,,,,,
normal,NA,NA,NA,yes,nope,Allport Odbert - Column III,1219,"conforming to a standard, pattern, or general average; usual; regular.",94,,,,,
nosy,5.30,809,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,29676,excessively interested in or forward in inquiring into the affairs of others; prying.,85,,,,,
noticeable,NA,NA,dropped,nope,nope,Allport Odbert - Column III,11325,easily spotted; evident; apparent.,34,,,,,
nurturing,NA,NA,dropped,nope,nope,Allport Odbert - Column II,13561,"encouraging and promoting growth, development, or education.",60,,,,,
nutty,NA,NA,dropped,nope,nope,Allport Odbert - Column III,18222,crazy or wildly enthusiastic.,29,,,,,
nymphomaniacal,NA,NA,dropped,nope,nope,Allport Odbert - Column I,71682,of a person affected with unusually strong sexual desire.,56,,,,,
obdurate,NA,NA,Norman - category 2; form 10,nope,nope,Allport Odbert - Column I,54123,hardhearted or without remorse.,31,,,,,
obedient,NA,NA,dropped,nope,nope,Allport Odbert - Column I,21196,"following, or being willing to follow, rules, commands, or requests.",64,,,,,
obeying,NA,NA,dropped,nope,nope,Allport Odbert - Column II,27511,"following or carrying out the commands, instructions, or wishes of someone.",73,,,,,
objective,4.90,810,Norman - category 1; form 6,nope,yes,Allport Odbert - Column I,4995,not influenced by personal prejudice or feelings; unbiased.,59,,,,,
obliging,3.80,811,Norman - category 1; form 7,nope,yes,Allport Odbert - Column I,38007,ready to help or do favors for.,31,,,,,
oblivious,NA,NA,dropped,nope,nope,Allport Odbert - Column II,11181,frequently not paying attention; unknowing or unaware.,54,,,,,
obnoxious,NA,NA,NA,yes,nope,Allport Odbert - Column III,19548,extremely unpleasant or irritating.,35,,,,,
obscene,NA,NA,Norman - category 3; form 9,nope,nope,Allport Odbert - Column III,13594,offensive to accepted views of morality and decency.,52,,,,,
obsequious,NA,NA,Norman - category 2; form 6,nope,nope,Allport Odbert - Column I,48864,showing or tending to show servile obedience or deference; fawning.,67,,,,,
observant,4.70,812,Norman - category 1; form 7,nope,yes,Allport Odbert - Column I,23217,watching carefully; alert; attentive.,37,,,,,
obsessive,5.70,813,Norman - category 2; form 12,nope,yes,not included,13970,a person who is affected by a strong compulsion.,40,,,,,
obstinate,3.50,814,Norman - category 1; form 8,nope,yes,Allport Odbert - Column I,33981,holding stubbornly to one's own ideas or purposes; unwilling to change.,71,,,,,
obstreperous,NA,NA,Norman - category 2; form 9,nope,nope,Allport Odbert - Column I,57405,purposely noisy and boisterous.,31,,,,,
obstructive,NA,NA,Norman - category 1; form 10,nope,nope,Allport Odbert - Column I,27675,"interrupting, delaying, or hindering the passage or progress of others.",71,,,,,
obtrusive,3.40,815,Norman - category 2; form 6,nope,yes,Allport Odbert - Column III,51870,noticeable or prominent in an unwelcome or intrusive way.,52,,,,,
obtuse,NA,NA,Norman - category 2; form 7,nope,nope,Allport Odbert - Column III,37638,"dull or insensitive; not keen or quick to notice, feel, or comprehend.",70,,,,,
odd,NA,NA,dropped,nope,nope,Allport Odbert - Column III,3044,strange; different from what is expected or customary.,54,,,,,
off-color,NA,NA,dropped,nope,nope,Allport Odbert - Column III,50027,"improper or in poor taste, especially of humor or innuendo dealing with sex.",76,,,,,
offensive,NA,NA,NA,yes,nope,Allport Odbert - Column III,3515,unpleasant; disagreeable; repugnant.,36,,,,,
officious,NA,NA,dropped,nope,nope,Allport Odbert - Column I,45121,overly eager or aggressive in offering unrequested or unwanted service to others.,81,,,,,
old,NA,NA,NA,yes,nope,Allport Odbert - Column IV,186,having lived for a long time; not young.,40,,,,,
old-fashioned,4.90,816,Norman - category 3; form 6,nope,yes,Allport Odbert - Column III,5997,"resembling past styles, manners, or modes of behavior; outdated.",64,,,,,
oleaginous,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,97272,"offensively and insincerely polite, ingratiating, or friendly; unctuous.",72,,,,,
ominous,NA,NA,dropped,nope,nope,Allport Odbert - Column III,11367,indicating or threatening future evil or unpleasantness.,56,,,,,
one-sided,2.50,817,Norman - category 3; form 10,nope,yes,Allport Odbert - Column III,18404,lacking balance or proportion.,30,,,,,
opaque,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,12562,not easily understood; unclear.,31,,,,,
open,NA,NA,NA,yes,nope,Allport Odbert - Column I,529,behaving without secrecy; frank; candid; forthcoming.,53,,,,,
open-ended,NA,NA,new,nope,nope,new,11718,indefinite or inconclusive; vague.,34,,,,,
open-faced,NA,NA,dropped,nope,nope,Allport Odbert - Column IV,50962,unreserved; ingenuous; frank.,49,,,,,
open-hearted,2.60,818,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,73590,frank or unreserved; candid.,28,,,,,
open-minded,5.50,819,Norman - category 1; form 7,nope,yes,Allport Odbert - Column I,23152,not having preconceptions or prejudgments; receptive; tolerant; impartial.,74,,,,,
opinionated,5.50,820,Norman - category 1; form 8,nope,yes,Allport Odbert - Column I,28644,"having definite and unchangeable views of things, often seemingly on all subjects.",82,,,,,
opportunistic,4.20,821,Norman - category 1; form 9,nope,yes,not included,21471,seeking or taking advantage of situations to serve one's own ends.,66,,,,,
optimistic,5.70,822,Norman - category 1; form 10,nope,yes,Allport Odbert - Column I,5074,expecting or tending to expect favorable outcomes.,50,,,,,
orderly,4.10,823,Norman - category 1; form 7,nope,yes,Allport Odbert - Column I,10503,characterized by a neat and methodical arrangement.,51,,,,,
ordinary,NA,NA,NA,yes,nope,Allport Odbert - Column III,2577,usual or normal.,16,,,,,
organized,6.00,824,NA,yes,nope,not included,4220,"tending to carefully arrange one's tasks, surroundings, and the like.",60,,,,,
original,4.30,825,Norman - category 1; form 8,nope,yes,Allport Odbert - Column I,1101,new or novel.,13,,,,,
ornery,2.50,826,Norman - category 3; form 10,nope,yes,Allport Odbert - Column III,35099,"stubborn, mean, or disagreeable.",32,,,,,
orthodox,NA,NA,dropped,nope,nope,Allport Odbert - Column I,6745,"consistent with what is customary, generally approved, or conventional.",71,,,,,
ostentatious,2.80,827,Norman - category 2; form 7,nope,yes,Allport Odbert - Column III,31954,overly showy or grandiose; pretentious.,39,,,,,
other-worldly,1.50,828,Norman - category 3; form 8,nope,yes,not included,58758,of a person who could be from an imaginary or spiritual place.,62,,,,,
otherworldly,NA,NA,Norman - category 3; form 8,nope,nope,Allport Odbert - Column I,24779,"as if from another world, whether in spirit or imagination.",59,,,,,
outgoing,6.30,829,Norman - category 1; form 6,nope,yes,Allport Odbert - Column I,12313,sociable and interested in others.,34,,,,,
outraged,NA,NA,dropped,nope,nope,Allport Odbert - Column II,9487,"angered, especially by something that offends or shocks.",56,,,,,
outspoken,5.50,830,Norman - category 1; form 7,nope,yes,Allport Odbert - Column I,11805,speaking or inclined to speak frankly and freely.,49,,,,,
outstanding,NA,NA,NA,yes,nope,Allport Odbert - Column III,4854,of high quality; excellent.,27,,,,,
overactive,3.70,831,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,38039,"exceptionally or excessively busy, mobile, or engaged.",35,,,,,
overambitious,3.30,832,Norman - category 3; form 14,nope,yes,not included,78833,having an excessively strong desire and determination to succeed.,64,,,,,
overanxious,NA,NA,dropped,nope,nope,Allport Odbert - Column I,75100,"excessively worried, uneasy, or nervous.",40,,,,,
overbearing,5.40,833,Norman - category 1; form 10,nope,yes,Allport Odbert - Column I,28646,arrogantly dominating; dictatorial.,35,,,,,
overbitter,1.30,834,Norman - category 3; form 6,nope,yes,Allport Odbert - Column III,NA,too acrimonious.,26,,,,,
overbold,1.30,835,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,NA,excessively showing an ability to take risks; confident and courageous.,70,,,,,
overbookish,1.10,836,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,NA,overly fond of reading.,21,,,,,
overbrave,1.00,837,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,NA,"too ready to face and endure danger or pain, to a fault.",55,,,,,
overbusy,1.60,838,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,NA,excessively occupied with activity; very fussy.,28,,,,,
overcareful,1.70,839,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,NA,"too worried about avoiding potential danger, mishap, or harm; cautious.",85,,,,,
overcaring,1.20,840,Norman - category 3; form 8,nope,yes,Allport Odbert - Column II,NA,displaying too much kindness and concern for others.,51,,,,,
overcasual,1.00,841,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,NA,too relaxed and unconcerned.,27,,,,,
overcautious,2.50,842,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,92749,too careful to avoid potential problems or dangers.,50,,,,,
overcharitable,1.00,843,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,NA,too apt to judge others leniently or favorably.,47,,,,,
overcompassionate,NA,NA,new,nope,nope,new,NA,overly concerned with the suffering of others.,46,,,,,
overconfident,4.20,844,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,39076,having more self-assurance than is warranted by one's abilities.,60,,,,,
overconscientious,1.30,845,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,NA,unduly giving more thoughtful attention to things than is necessary or appropriate.,84,,,,,
overcredulous,1.00,846,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,NA,willing to believe or trust too readily; gullible.,97,,,,,
overcritical,3.60,847,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,NA,inclined to find fault too readily.,34,,,,,
overcunning,1.00,848,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,NA,having or showing excessive skill in achieving one's ends by deceit or evasion.,77,,,,,
overcurious,1.30,849,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,NA,too inquisitive or eager to investigate.,40,,,,,
overdaring,1.50,850,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,NA,"overly adventurous, foolhardy.",40,,,,,
overdiligent,1.90,851,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,NA,showing excessive care and conscientiousness in one's work or duties.,68,,,,,
overeager,NA,NA,dropped,nope,nope,Allport Odbert - Column I,56674,"excessively expectant or desiring, often pejoratively so.",57,,,,,
overearnest,1.10,852,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,NA,excessively sincere or intense conviction.,30,,,,,
overelegant,1.00,853,Norman - category 3; form 9,nope,yes,Allport Odbert - Column III,NA,"excessively graceful, and stylish.",35,,,,,
overemotional,3.80,854,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,NA,having feelings that are too easily excited and displayed.,57,,,,,
overemphatic,1.30,855,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,NA,expressing or acting with excessive force.,55,,,,,
overexcitable,2.90,856,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,NA,too easily aroused or stimulated.,32,,,,,
overfastidious,1.40,857,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,NA,overly attentive to and concerned about accuracy and detail.,59,,,,,
overfearful,1.00,858,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,NA,excessively afraid; easily frightened.,29,,,,,
overfierce,1.00,859,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,NA,having an overly violent and unrestrained nature.,48,,,,,
overforward,1.40,860,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,NA,too bold or familiar.,42,,,,,
overgreedy,1.60,861,NA,yes,nope,Allport Odbert - Column III,NA,"an overly intense and selfish desire for something, especially wealth or power.",78,,,,,
overharsh,1.40,862,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,NA,overly cruel or severe.,22,,,,,
overhasty,1.50,863,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,NA,acting or done with excessive or careless speed.,47,,,,,
overimaginative,2.40,864,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,NA,showing creativity or inventiveness to a fault.,22,,,,,
overindulgent,2.80,865,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,90024,"giving in to one's desires, cravings, or habits to excess.",50,,,,,
overintense,1.50,866,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,NA,excessively emotional.,44,,,,,
overjealous,1.90,867,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,NA,suspicious or unduly suspicious or fearful of being displaced by a rival.,72,,,,,
overkind,1.90,868,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,NA,excessively or unnecessarily pleasant.,57,,,,,
overlogical,1.10,869,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,NA,excessively logical; adhering too closely to the forms or rules of logic.,72,,,,,
overloud,1.10,870,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,NA,excessively noisy.,25,,,,,
overlusty,1.00,871,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,NA,"too passionate, strong, or full or vigor.",41,,,,,
overmasculine,NA,NA,new,nope,nope,new,NA,behaving in an exaggerated stereotypically male manner.,55,,,,,
overmerry,1.10,872,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,NA,too cheerful and lively.,24,,,,,
overmodest,1.70,873,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,NA,too unassuming about one's achievements or abilities.,51,,,,,
overneat,1.50,874,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,NA,overly concerned with tidyness.,42,,,,,
overnervous,1.50,875,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,NA,too easily agitated or alarmed; tending to be anxious; highly strung.,68,,,,,
overpartial,1.30,876,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,NA,obviously favoring one side in a dispute above the other; too biased.,68,,,,,
overparticular,1.30,877,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,NA,too picky.,24,,,,,
overpassionate,1.80,878,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,NA,"compelled by, or ruled by intense emotion or strong feeling.",59,,,,,
overpatient,1.60,879,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,NA,"excessively tolerant of delays, waits too long without becoming annoyed.",60,,,,,
overprompt,1.10,880,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,NA,excessively responsive.,31,,,,,
overproud,1.40,881,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,NA,feeling too much self-respect or pleasure in something by which you measure your self-worth.,91,,,,,
overquiet,1.70,882,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,NA,too tranquil and reserved by nature; not brash or forceful.,58,,,,,
overrash,1.10,883,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,NA,strong lack of careful consideration of the possible consequences of an action.,78,,,,,
overrated,NA,NA,NA,yes,nope,Allport Odbert - Column III,26520,have a higher opinion of (someone or something) than is deserved.,64,,,,,
overrefined,1.00,884,Norman - category 3; form 9,nope,yes,Allport Odbert - Column III,NA,excessively delicate or refined.,32,,,,,
overrelaxed,1.80,885,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,NA,extremely free from tension and anxiety; at ease.,48,,,,,
overrighteous,1.50,886,Norman - category 3; form 6,nope,yes,Allport Odbert - Column III,NA,believing oneself morally justified; virtuous.,46,,,,,
overrigid,1.50,887,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,NA,too unable to be changed or adapted.,35,,,,,
overrigorous,1.00,888,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,NA,"extremely thorough, exhaustive, or accurate.",43,,,,,
overscrupulous,1.30,889,Norman - category 3; form 10,nope,yes,Allport Odbert - Column I,NA,"too diligent, thorough, and extremely attentive to details.",58,,,,,
oversensitive,4.40,890,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,66097,too easily offended or quick to react.,32,,,,,
oversentimental,NA,NA,new,nope,nope,new,NA,"sappy; overly prone to feelings of tenderness, sadness, or nostalgia.",69,,,,,
overserious,2.20,891,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,NA,overly demanding of careful consideration or application.,56,,,,,
oversevere,1.00,892,Norman - category 3; form 8,nope,yes,Allport Odbert - Column I,NA,"overly intense, strict, or harsh.",32,,,,,
overslow,1.00,893,Norman - category 3; form 9,nope,yes,Allport Odbert - Column I,NA,"less quick to understand, think, or learn.",39,,,,,
oversolicitous,1.10,894,Norman - category 2; form 10,nope,yes,Allport Odbert - Column I,NA,overly eager or anxious to do something.,39,,,,,
overspeedy,1.00,895,Norman - category 3; form 6,nope,yes,Allport Odbert - Column I,NA,overly quick or rapid.,22,,,,,
overstepping,NA,NA,dropped,nope,nope,Allport Odbert - Column II,51221,"exceeding one's boundaries or limits, especially interpersonally.",65,,,,,
overstrict,1.90,896,Norman - category 3; form 7,nope,yes,Allport Odbert - Column I,NA,overly demanding that rules concerning behavior are obeyed and observed.,71,,,,,
